model number,number layers, number nodes, mean error, mean enzyme error, score
83.4, 18, 308, 0.17907316492591394, 0.27879309028667676, 0.4578662552125907
71.5, 18, 277, 0.1762353212363775, 0.3199511929265763, 0.4961865141629538
72.5, 22, 263, 0.18579901658575423, 0.28968909085410377, 0.47548810743985803
73.5, 18, 263, 0.22889053205650586, 0.3531508194667846, 0.5820413515232905
75.5, 24, 318, 0.14759473650808802, 0.23310350814256028, 0.3806982446506483
79.5, 22, 281, 0.1650236204503414, 0.285827933329143, 0.45085155377948444
83.5, 18, 308, 0.18171515167144994, 0.27592386622251075, 0.45763901789396066
71.6, 18, 277, 0.17762172608440394, 0.3178118713413336, 0.49543359742573756
75.6, 24, 318, 0.14454722683528093, 0.23101159956073822, 0.3755588263960191
79.6, 22, 281, 0.16344609320068268, 0.28652107834467727, 0.4499671715453599
83.6, 18, 308, 0.181905352581068, 0.2747316410312732, 0.45663699361234117
75.7, 24, 318, 0.1428167486704368, 0.22927317491962151, 0.3720899235900583
75.8, 24, 318, 0.14353751845482968, 0.22699599221073707, 0.3705335106655667
85.1, 16, 296, 0.19022333628298524, 0.41900522181402555, 0.6092285580970108
86.1, 26, 328, 0.18657103903153738, 0.4084262451140003, 0.5949972841455377
87.1, 24, 282, 0.2040301553672428, 0.48774990290594, 0.6917800582731828
88.1, 24, 333, 0.2031833071365299, 0.4742357327083707, 0.6774190398449006
89.1, 18, 334, 0.20414639930264522, 0.4221262961904341, 0.6262726954930793
90.1, 16, 336, 0.21373157170702328, 0.5308466355133064, 0.7445782072203296
91.1, 22, 333, 0.2290117668611857, 0.505612929284708, 0.7346246961458938
92.1, 32, 276, 0.21157611311808588, 0.4797595284837889, 0.6913356416018748
93.1, 24, 282, 0.1759278330093551, 0.4133799898916682, 0.5893078229010233
94.1, 24, 331, 0.22505808157221305, 0.4736519508931095, 0.6987100324653226
95.1, 26, 338, 0.15400167801842285, 0.3788098528943347, 0.5328115309127576
96.1, 24, 281, 0.19503510235585786, 0.37207648389281806, 0.567111586248676
97.1, 16, 262, 0.22798545416148372, 0.4271002236254478, 0.6550856777869315
98.1, 20, 347, 0.17148501829453155, 0.3819894924541298, 0.5534745107486614
99.1, 26, 334, 0.1977299584036694, 0.49980251780899987, 0.6975324762126692
100.1, 38, 301, 0.19906707567465273, 0.4474142044709137, 0.6464812801455664
101.1, 16, 323, 0.2172774718883118, 0.42580331833052976, 0.6430807902188416
102.1, 20, 316, 0.22266981875090217, 0.4683720499884648, 0.691041868739367
103.1, 22, 346, 0.2340470239922349, 0.48563490524492664, 0.7196819292371616
104.1, 20, 282, 0.20199108822624415, 0.5052722065383208, 0.707263294764565
105.1, 18, 310, 0.22323918810138202, 0.5059309084243633, 0.7291700965257453
106.1, 16, 315, 0.23038134987808975, 0.44905409604348073, 0.6794354459215705
107.1, 16, 341, 0.1806549948152679, 0.4267926761881934, 0.6074476710034613
108.1, 18, 345, 0.1882239064266533, 0.4526669430808329, 0.6408908495074862
109.1, 16, 316, 0.20627983846884157, 0.470886003029699, 0.6771658414985406
110.1, 34, 338, 0.1846154765372478, 0.4370891940152911, 0.6217046705525389
111.1, 20, 314, 0.17964054106171026, 0.468441180367782, 0.6480817214294923
112.1, 30, 349, 0.17124465297471933, 0.3445364634440186, 0.5157811164187379
113.1, 16, 299, 0.18792613654066798, 0.4307040084945018, 0.6186301450351698
114.1, 16, 301, 0.22883866143470488, 0.439905486613915, 0.6687441480486198
115.1, 18, 312, 0.2145962995464526, 0.4686417711563245, 0.6832380707027771
116.1, 16, 332, 0.22987370354192793, 0.5063079056971161, 0.7361816092390441
117.1, 18, 338, 0.1857247767148656, 0.4618059380360346, 0.6475307147509002
118.1, 24, 279, 0.2079054289975844, 0.4117446885102232, 0.6196501175078076
119.1, 26, 301, 0.17243518080758335, 0.39505410802382707, 0.5674892888314105
120.1, 28, 285, 0.2101479125765043, 0.4874105414896416, 0.6975584540661459
121.1, 26, 281, 0.1948299174134837, 0.39937016825831, 0.5942000856717937
122.1, 18, 332, 0.1802709057780572, 0.4254012747583544, 0.6056721805364116
123.1, 26, 328, 0.22353402572344674, 0.49038601857794106, 0.7139200443013878
85.2, 16, 296, 0.17933686788369055, 0.3315210044846421, 0.5108578723683327
86.2, 26, 328, 0.21872564721994148, 0.3118910868544394, 0.5306167340743808
87.2, 24, 282, 0.22654964282867296, 0.4238205971109904, 0.6503702399396634
88.2, 24, 333, 0.23152336494704936, 0.35707244814843225, 0.5885958130954816
89.2, 18, 334, 0.22551385732365387, 0.3255024537368805, 0.5510163110605344
90.2, 16, 336, 0.2149871780688763, 0.42268071070007623, 0.6376678887689525
91.2, 22, 333, 0.2487917261177731, 0.3818319464312315, 0.6306236725490045
92.2, 32, 276, 0.2041135362408774, 0.3303387931066895, 0.5344523293475669
93.2, 24, 282, 0.15035545347859217, 0.2546732235542542, 0.4050286770328464
94.2, 24, 331, 0.2165647443563977, 0.33636054478379085, 0.5529252891401886
95.2, 26, 338, 0.1748285784436477, 0.3031116020739841, 0.47794018051763176
96.2, 24, 281, 0.19879531060818278, 0.2894174057403201, 0.4882127163485029
97.2, 16, 262, 0.2309273001404882, 0.35402835483564604, 0.5849556549761342
98.2, 20, 347, 0.17057645245328912, 0.32047942700359955, 0.49105587945688867
112.2, 30, 349, 0.12768458056890447, 0.2184136470401943, 0.3460982276090988
113.2, 16, 299, 0.20525623633044163, 0.34481369687656344, 0.550069933207005
114.2, 16, 301, 0.21742508327821458, 0.34492607194927744, 0.562351155227492
115.2, 18, 312, 0.2190729147366399, 0.4050667533792064, 0.6241396681158463
116.2, 16, 332, 0.23393610059333347, 0.40606712182076143, 0.6400032224140949
117.2, 18, 338, 0.19955469056547176, 0.34148992223935365, 0.5410446128048254
118.2, 24, 279, 0.2190293592774119, 0.33776544691030863, 0.5567948061877206
119.2, 26, 301, 0.15217885044523036, 0.2447075607530314, 0.39688641119826173
120.2, 28, 285, 0.18711150397771478, 0.333319036448626, 0.5204305404263407
121.2, 26, 281, 0.19746968221276753, 0.3001061830003933, 0.4975758652131609
122.2, 18, 332, 0.194071471548186, 0.26547556306145803, 0.459547034609644
123.2, 26, 328, 0.23114850848013369, 0.36038298939488256, 0.5915314978750162
85.3, 16, 296, 0.16901378748205959, 0.31259500150430275, 0.48160878898636234
86.3, 26, 328, 0.2193804397487572, 0.3080469085792807, 0.5274273483280378
87.3, 24, 282, 0.2309696452672515, 0.41872823779777546, 0.649697883065027
